1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1627776000000,41447.67,42566.0,39462.33,39851.08,140.451913
1627862400000,39851.08,40452.47,38691.0,39144.91,143.550949
1627948800000,39144.91,39771.94,37661.2,38210.87,120.750935
1628035200000,38210.87,39955.86,37551.94,39738.46,126.630748
1628121600000,39738.46,41353.0,37348.85,40864.26,215.362454
1628208000000,40864.26,43367.66,39900.01,42831.88,158.525493
1628294400000,42831.88,44705.58,42500.0,44578.65,237.590431
1628380800000,44578.65,45281.85,43296.16,43807.74,191.475897
1628467200000,43807.74,46466.92,42820.94,46285.33,240.183492
1628553600000,46285.33,46750.0,44650.0,45585.67,176.307778
1628640000000,45585.67,46595.92,45349.31,45543.0,136.428802
1628726400000,45543.0,46207.82,43790.8,44412.0,170.489342
1628812800000,44412.0,47865.28,44243.99,47807.6,158.11131
1628899200000,47807.6,48107.0,46029.73,47037.53,192.779991
1628985600000,47037.53,47336.25,45507.0,46979.44,139.139401
1629072000000,46979.44,48016.54,45657.69,45913.29,207.229123
1629158400000,45913.29,47138.09,44412.0,44676.76,211.227177
1629244800000,44676.76,45930.0,44218.24,44635.35,227.924747
1629331200000,44635.35,47001.35,43950.0,46753.83,230.822202
1629417600000,46753.83,49338.0,46629.54,49301.43,260.425931
1629504000000,49301.43,49731.15,48171.57,48772.59,132.869856
1629590400000,48772.59,49506.7,48074.56,49223.35,132.608239
1629676800000,49223.35,50424.0,49022.0,49519.22,229.063926
1629763200000,49519.22,49790.14,47525.41,47671.53,215.420646
1629849600000,47671.53,49245.14,47120.0,48996.42,205.688869
1629936000000,48996.42,49344.29,46323.43,46822.44,176.035044
1630022400000,46822.44,49089.0,46338.71,49037.99,179.847809
1630108800000,49037.99,49257.4,48352.9,48884.84,147.818635
1630195200000,48884.84,49614.36,47800.0,48756.58,125.332522
1630281600000,48756.58,48873.18,46864.01,46986.26,177.492634
1630368000000,46986.26,48200.0,46700.0,47103.33,274.37544
1630454400000,47103.33,49059.99,46500.0,48783.19,179.998962
1630540800000,48783.19,50326.95,48558.75,49231.18,292.562294
1630627200000,49231.18,50987.0,48358.37,49973.87,313.834521
1630713600000,49973.87,50550.0,49400.0,49919.82,186.580609
1630800000000,49919.82,51836.71,49485.03,51726.73,231.26447
1630886400000,51726.73,52662.73,50963.72,52586.77,257.346181
1630972800000,52586.77,52818.37,43000.0,46729.2,645.126118
1631059200000,46729.2,47299.87,44436.94,46014.25,407.756328
1631145600000,46014.25,47338.87,45508.88,46358.44,288.664531
1631232000000,46358.44,46998.0,44150.0,44830.7,369.397501
1631318400000,44830.7,45943.71,44727.84,45131.32,289.418999
1631404800000,45131.32,46377.51,44713.09,45986.0,254.371103
1631491200000,45986.0,46782.0,43381.99,44910.13,476.493014
1631577600000,44910.13,47233.76,44590.01,47100.0,340.498618
1631664000000,47100.0,48444.0,46686.86,48128.25,302.601632
1631750400000,48128.25,48470.0,47020.51,47729.93,262.464978
1631836800000,47729.93,48142.22,46750.01,47290.58,227.556339
1631923200000,47290.58,48773.78,47058.1,48272.38,185.709749
1632009600000,48272.38,48328.8,46864.83,47252.31,180.834669
