4h_timestamp,4h_open,4h_high,4h_low,4h_close,4h_volume
1627747200000,41547.21,41580.26,41040.89,41309.85,7.444235
1627761600000,41309.85,41978.92,41165.0,41447.67,23.019513
1627776000000,41447.67,42566.0,41146.99,42438.76,16.965873
1627790400000,42438.76,42438.76,41613.32,41696.27,13.860199
1627804800000,41696.27,41939.99,41323.8,41581.7,15.844612
1627819200000,41581.7,41821.66,41169.13,41288.52,13.416955
1627833600000,41288.52,41488.19,40650.0,41244.37,34.795585
1627848000000,41244.37,41500.0,39462.33,39851.08,45.568689
1627862400000,39851.08,40082.11,39238.47,39786.72,25.295697
1627876800000,39786.72,40452.47,39601.0,40086.32,18.242415
1627891200000,40086.32,40137.24,39313.05,39535.18,24.697768
1627905600000,39535.18,39847.14,39000.0,39705.41,29.126902
1627920000000,39705.41,39965.06,39050.5,39184.82,7.265981
1627934400000,39184.82,39575.79,38691.0,39144.91,38.922186
1627948800000,39144.91,39771.94,38515.0,38664.19,17.738722
1627963200000,38664.19,38816.37,37988.75,38598.99,28.714742
1627977600000,38598.99,38796.71,38351.52,38477.63,17.873386
1627992000000,38477.63,38681.85,37753.55,38172.94,34.050897
1628006400000,38172.94,38515.2,37661.2,38004.51,14.098008
1628020800000,38004.51,38615.02,37892.71,38210.87,8.27518
1628035200000,38210.87,38555.98,37899.39,37968.73,11.254679
1628049600000,37968.73,38316.81,37690.0,37821.94,20.775993
1628064000000,37821.94,38253.44,37551.94,38168.61,12.589015
1628078400000,38168.61,39459.93,38167.0,39302.67,38.874328
1628092800000,39302.67,39828.0,39230.09,39746.9,15.524887
1628107200000,39746.9,39955.86,39554.61,39738.46,27.611846
1628121600000,39738.46,39833.42,39205.0,39446.71,11.779832
1628136000000,39446.71,39521.0,38711.95,38865.02,14.278715
1628150400000,38865.02,38962.27,37858.82,38001.37,34.4347
1628164800000,38001.37,39376.39,37348.85,38792.3,67.84954
1628179200000,38792.3,41353.0,38756.14,40686.55,65.548614
1628193600000,40686.55,41277.51,40673.93,40864.26,21.471053
1628208000000,40864.26,41014.07,39938.73,40221.63,22.24085
1628222400000,40221.63,41200.0,39900.01,40736.99,21.549914
1628236800000,40736.99,41127.24,40425.0,40524.5,19.12977
1628251200000,40524.5,42150.0,40317.56,42149.99,42.918174
1628265600000,42149.99,43367.66,41879.12,42904.0,33.835406
1628280000000,42904.0,42961.63,42392.49,42831.88,18.851379
1628294400000,42831.88,43759.35,42595.3,43690.27,46.310891
1628308800000,43690.27,43936.39,43050.0,43218.13,40.733036
1628323200000,43218.13,43982.54,43112.52,43813.2,23.682483
1628337600000,43813.2,44526.1,43086.29,43373.46,55.746097
1628352000000,43373.46,44076.65,42500.0,43996.88,43.950203
1628366400000,43996.88,44705.58,43513.0,44578.65,27.167721
1628380800000,44578.65,44778.02,43814.67,44272.66,33.64268
1628395200000,44272.66,45281.85,44183.23,44786.36,31.771694
1628409600000,44786.36,45030.78,44100.73,44458.53,22.373681
1628424000000,44458.53,45164.04,43795.0,43974.09,38.213067
1628438400000,43974.09,44366.32,43296.16,43697.57,23.525371
1628452800000,43697.57,44591.05,43560.26,43807.74,41.949404
1628467200000,43807.74,43953.17,42820.94,43506.53,26.958602
1628481600000,43506.53,43832.56,43260.0,43832.56,30.478213
1628496000000,43832.56,46000.0,43591.29,45947.64,55.42406
1628510400000,45947.64,46299.98,45172.0,45900.0,59.313716
1628524800000,45900.0,46466.92,45700.0,45993.01,28.865781
1628539200000,45993.01,46445.88,44760.02,46285.33,39.14312
1628553600000,46285.33,46750.0,45550.03,45703.01,30.143369
1628568000000,45703.01,46000.0,45329.5,45964.61,13.491209
1628582400000,45964.61,46150.0,45222.49,45361.05,28.349597
1628596800000,45361.05,46100.0,44896.93,45154.67,35.678507
1628611200000,45154.67,45472.7,44650.0,45355.68,38.812479
1628625600000,45355.68,45877.64,45154.04,45585.67,29.832617
1628640000000,45585.67,45981.76,45349.31,45583.31,17.564282
1628654400000,45583.31,46437.88,45458.56,46337.9,19.423316
1628668800000,46337.9,46581.18,45872.83,45926.64,16.864575
1628683200000,45926.64,46595.92,45800.02,46308.36,37.246587
1628697600000,46308.36,46408.93,45900.01,46003.44,12.808478
1628712000000,46003.44,46360.0,45543.0,45543.0,32.521564
1628726400000,45543.0,46207.82,45431.65,45901.15,17.924516
1628740800000,45901.15,46008.83,44847.49,45260.17,36.636632
1628755200000,45260.17,45659.41,44674.12,44722.23,26.484309
1628769600000,44722.23,44949.66,43950.0,44184.47,40.937235
1628784000000,44184.47,44499.63,43790.8,44381.02,24.184354
1628798400000,44381.02,44581.81,43873.16,44412.0,24.322296
1628812800000,44412.0,45349.92,44243.99,45160.35,17.297448
1628827200000,45160.35,46322.69,44900.0,46080.64,28.229675
1628841600000,46080.64,46533.0,45947.89,46148.11,29.136265
1628856000000,46148.11,46658.0,46146.22,46383.99,25.610549
1628870400000,46383.99,46595.94,46225.26,46459.67,14.297228
